qid1	qid2
38	27517
38	28236
38	28639
38	29331
38	31868
38	32032
38	32200
38	33412
38	35498
38	37698
38	38315
38	42108
38	43745
38	44331
38	47020
38	47485
38	48053
38	50856
38	54749
38	59367
38	61018
38	61999
38	62000
38	67545
38	69550
38	82345
38	88660
38	96383
38	107900
38	107901
38	126808
38	299458
38	314002
38	362592
39	70980
41	42
44	77009
44	184623
44	199389
44	227047
44	400679
45	118146
45	174045
45	207355
45	283376
45	339788
45	374821
46	66226
46	66227
46	134030
46	134031
46	271267
50	233769
50	233961
53	441812
57	568
57	569
57	1885
57	1886
57	2561
57	2618
57	2619
57	2634
57	4037
57	4038
57	4351
57	4352
57	4415
57	4416
57	4893
57	5511
57	6099
57	6100
57	6171
57	6437
57	6438
57	6799
57	6800
57	7740
57	7800
57	7801
57	8037
57	8154
57	8268
57	8533
57	8534
57	10234
57	10433
57	10674
57	12191
57	12717
57	12718
57	12851
57	12852
57	13144
57	14221
57	18348
57	18475
57	20105
57	20201
57	20628
57	20672
57	21876
57	23714
57	24296
57	24297
57	25776
57	28280
57	30647
57	30681
57	30696
57	32317
57	34942
57	35933
57	36120
57	36751
57	38211
57	39651
57	39774
57	44269
57	45448
57	51332
57	51333
57	51617
57	51836
57	52298
57	53167
57	55585
57	59242
57	62264
57	65436
57	65550
57	65551
57	67996
57	67997
57	78031
57	78032
57	81766
57	82582
57	84340
57	84341
57	84902
57	92406
57	101583
57	105417
57	109548
57	130216
57	157768
57	164399
57	175469
57	176622
57	176623
57	188942
57	194714
57	213873
57	214223
57	228430
57	228431
57	230392
57	238674
57	247921
57	264646
57	283782
57	294875
57	297469
57	298298
57	299553
57	400360
57	423765
57	424652
57	424653
57	441054
57	461066
57	461067
57	521387
59	60
59	3774
59	3775
59	21214
59	21215
59	23468
59	24712
59	33193
59	36690
59	70553
59	108029
60	3774
60	3775
60	21214
60	21215
60	23468
60	24712
60	33193
60	36690
60	70553
60	108029
63	64
63	43889
64	43889
65	66
70	103097
77	78
77	5555
77	5556
77	7261
77	7975
77	7976
77	12397
77	13689
77	13690
77	14412
77	15413
77	15414
77	17109
77	17110
77	18753
77	20126
77	20127
77	20826
77	20827
77	24260
77	24261
77	24437
77	24438
77	25672
77	25673
77	25765
77	30621
77	30835
77	34135
77	36337
77	37130
77	47507
77	47808
77	61147
77	61179
77	64334
77	64335
77	73544
77	76078
77	86745
77	86746
77	89196
77	93413
77	93414
77	95224
77	103452
77	119088
77	136042
77	147756
77	176811
77	197387
77	228378
77	229179
77	245691
77	253369
77	264198
77	268447
77	280254
77	315974
77	331619
77	334420
77	478706
78	5555
78	5556
78	7261
78	7975
78	7976
78	12397
78	13689
78	13690
78	14412
78	15413
78	15414
78	17109
78	17110
78	18753
78	20126
78	20127
78	20826
78	20827
78	24260
78	24261
78	24437
78	24438
78	25672
78	25673
78	25765
78	30621
78	30835
78	34135
78	36337
78	37130
78	47507
78	47808
78	61147
78	61179
78	64334
78	64335
78	73544
78	76078
78	86745
78	86746
78	89196
78	93413
78	93414
78	95224
78	103452
78	119088
78	136042
78	147756
78	176811
78	197387
78	228378
78	229179
78	245691
78	253369
78	264198
78	268447
78	280254
78	315974
78	331619
78	334420
78	478706
83	84
85	101385
86	101386
91	307255
97	98
97	367301
98	367301
99	100
99	9641
99	9642
99	11667
99	14677
99	14678
99	102419
99	105314
99	125444
99	150777
99	150778
99	154411
99	154412
99	293872
99	316015
99	367412
99	387143
99	396796
99	409865
99	409866
99	462304
99	503714
100	9641
100	9642
100	11667
100	14677
100	14678
100	102419
100	105314
100	125444
100	150777
100	150778
100	154411
100	154412
100	293872
100	316015
100	367412
100	387143
100	396796
100	409865
100	409866
100	462304
100	503714
101	102
103	104
107	108
107	652
107	78036
107	128657
107	128658
107	208937
107	248362
108	652
108	78036
108	128657
108	128658
108	208937
108	248362
116	116185
116	116186
116	145706
116	180358
116	180988
116	338518
117	118
117	3875
117	6952
117	6953
117	10024
117	12017
117	12018
117	21153
117	21154
117	23752
117	23753
117	27456
117	33695
117	37121
117	61676
117	64009
117	115735
117	120201
117	128315
117	143891
117	204613
117	249357
117	385556
118	3875
118	6952
118	6953
118	10024
118	12017
118	12018
118	21153
118	21154
118	23752
118	23753
118	27456
118	33695
118	37121
118	61676
118	64009
118	115735
118	120201
118	128315
118	143891
118	204613
118	249357
118	385556
119	64307
119	64308
121	407007
125	126
125	7417
125	7418
125	82067
125	90436
125	90437
125	101336
125	163544
125	180911
126	7417
126	7418
126	82067
126	90436
126	90437
126	101336
126	163544
126	180911
130	141412
130	141413
130	169346
130	198214
131	132
131	305800
131	343876
131	355412
131	371972
132	305800
132	343876
132	355412
132	371972
133	134
133	705
133	6290
133	6291
133	6781
133	6782
133	9072
133	9073
133	12341
133	16685
133	16686
133	22360
133	22361
133	23696
133	23697
133	25039
133	32861
133	38050
133	38051
133	38358
133	38359
133	43756
133	47340
133	49499
133	49500
133	62590
133	65881
133	65882
133	76832
133	79409
133	80516
133	93481
133	96545
133	97965
133	101802
133	106903
133	107831
133	125925
133	140822
133	146425
133	165270
133	179879
133	179880
133	190332
133	202257
133	202258
133	214184
133	214327
133	217438
133	257258
133	283978
133	292482
133	293035
133	294001
133	308643
133	331460
133	331461
133	333998
133	397227
133	424271
134	705
134	6290
134	6291
134	6781
134	6782
134	9072
134	9073
134	12341
134	16685
134	16686
134	22360
134	22361
134	23696
134	23697
134	25039
134	32861
134	38050
134	38051
134	38358
134	38359
134	43756
134	47340
134	49499
134	49500
134	62590
134	65881
134	65882
134	76832
134	79409
134	80516
134	93481
134	96545
134	97965
134	101802
134	106903
134	107831
134	125925
134	140822
134	146425
134	165270
134	179879
134	179880
134	190332
134	202257
134	202258
134	214184
134	214327
134	217438
134	257258
134	283978
134	292482
134	293035
134	294001
134	308643
134	331460
134	331461
134	333998
134	397227
134	424271
135	136
135	8378
135	8379
135	10657
135	12753
135	12754
135	38442
135	38443
135	52814
135	101659
136	8378
136	8379
136	10657
136	12753
136	12754
136	38442
136	38443
136	52814
136	101659
143	144
143	462802
144	462802
145	146
145	1286
145	1287
145	1933
145	1934
145	2264
145	2265
145	2322
145	2323
145	2438
145	2439
145	2985
145	2986
145	3938
145	3939
145	4051
145	4052
145	4446
145	4447
145	5514
145	6748
145	6749
145	6801
145	6802
145	7842
145	7918
145	7919
145	8461
145	8462
145	8885
145	9006
145	9007
145	10215
145	10248
145	10859
145	11396
145	11397
145	11476
145	11477
145	11588
145	12214
145	12252
145	13113
145	13756
145	16490
145	17761
145	18355
145	18953
145	18954
145	19138
145	19139
145	19329
145	20542
145	21009
145	21693
145	21807
145	22064
145	23355
145	23908
145	24142
145	24734
145	24735
145	25911
145	25984
145	26639
145	27208
145	27209
145	27636
145	27851
145	28270
145	28271
145	28559
145	29359
145	30021
145	30022
145	31645
145	31646
145	32854
145	33359
145	35301
145	36435
145	37916
145	37921
145	38296
145	39445
145	40046
145	40752
145	40753
145	41716
145	43898
145	45446
145	45447
145	46237
145	46902
145	47300
145	49696
145	54444
145	55435
145	56440
145	58173
145	58460
145	65637
145	65693
145	67403
145	69108
145	77414
145	94496
145	97623
145	100795
145	110821
145	112330
145	123387
145	124704
145	124705
145	135284
145	138229
145	138287
145	140327
145	142825
145	147595
145	158000
145	161013
145	166501
145	169735
145	178040
145	178041
145	178686
145	200163
145	205967
145	237297
145	253622
145	256632
145	270268
145	306595
145	306596
145	312536
145	322141
145	343976
145	359479
145	376998
145	384744
145	396726
145	423010
145	423210
145	456661
145	464913
145	495742
145	500448
145	508539
146	1286
146	1287
146	1933
146	1934
146	2264
146	2265
146	2322
146	2323
146	2438
146	2439
146	2985
146	2986
146	3938
146	3939
146	4051
146	4052
146	4446
146	4447
146	5514
146	6748
146	6749
146	6801
146	6802
146	7842
146	7918
146	7919
146	8461
146	8462
146	8885
146	9006
146	9007
146	10215
146	10248
146	10859
146	11396
146	11397
146	11476
146	11477
146	11588
146	12214
146	12252
146	13113
146	13756
146	16490
146	17761
146	18355
146	18953
146	18954
146	19138
146	19139
146	19329
146	20542
146	21009
146	21693
146	21807
146	22064
146	23355
146	23908
146	24142
146	24734
146	24735
146	25911
146	25984
146	26639
146	27208
146	27209
146	27636
146	27851
146	28270
146	28271
146	28559
146	29359
146	30021
146	30022
146	31645
146	31646
146	32854
146	33359
146	35301
146	36435
146	37916
146	37921
146	38296
146	39445
146	40046
146	40752
146	40753
146	41716
146	43898
146	45446
146	45447
146	46237
146	46902
146	47300
146	49696
146	54444
146	55435
146	56440
146	58173
146	58460
146	65637
146	65693
146	67403
146	69108
146	77414
146	94496
146	97623
146	100795
146	110821
146	112330
146	123387
146	124704
146	124705
146	135284
146	138229
146	138287
146	140327
146	142825
146	147595
146	158000
146	161013
146	166501
146	169735
146	178040
146	178041
146	178686
146	200163
146	205967
146	237297
146	253622
146	256632
146	270268
146	306595
146	306596
146	312536
146	322141
146	343976
146	359479
146	376998
146	384744
146	396726
146	423010
146	423210
146	456661
146	464913
146	495742
146	500448
146	508539
147	148
147	5051
147	5052
147	5729
147	5730
147	8244
147	8245
147	9835
147	21279
147	21280
147	21380
147	24548
147	24549
147	30057
147	30058
147	32160
147	35034
147	35035
147	41015
147	44946
147	56726
147	65422
147	77743
147	82816
147	131214
147	206231
147	525128
148	5051
148	5052
148	5729
148	5730
148	8244
148	8245
148	9835
148	21279
148	21280
148	21380
148	24548
148	24549
148	30057
148	30058
148	32160
148	35034
148	35035
148	41015
148	44946
148	56726
148	65422
148	77743
148	82816
148	131214
148	206231
148	525128
149	150
149	231484
150	231484
153	472313
157	195376
157	457918
159	160
159	598
159	599
159	1178
159	1179
159	1448
159	1449
159	2605
159	3663
159	3664
159	5278
159	5279
159	7295
159	7296
159	11887
159	11888
159	12131
159	12132
159	12591
159	12726
159	12888
159	20931
159	21506
159	21507
159	24396
159	24397
159	25851
159	26094
159	26095
159	27437
159	28305
159	28646
159	28647
159	30722
159	30947
159	31229
159	33922
159	34952
159	34953
159	37653
159	37893
159	39841
159	40354
159	42017
159	42548
159	42549
159	42810
159	44023
159	47990
159	50405
159	51586
159	52837
159	58690
159	66153
159	70681
159	72173
159	76908
159	76909
159	82330
159	82631
159	83750
159	87432
159	87792
159	93259
159	96905
159	97339
159	105409
159	105410
159	107009
159	107298
159	116125
159	118352
159	118353
159	121960
159	123394
159	126311
159	131788
159	136469
159	146824
159	155005
159	161694
159	163227
159	168740
159	185894
159	187155
159	189654
159	233069
159	253438
159	290657
159	300073
159	359989
159	411536
159	412601
159	420663
159	459439
159	533192
160	598
160	599
160	1178
160	1179
160	1448
160	1449
160	2605
160	3663
160	3664
160	5278
160	5279
160	7295
160	7296
160	11887
160	11888
160	12131
160	12132
160	12591
160	12726
160	12888
160	20931
160	21506
160	21507
160	24396
160	24397
160	25851
160	26094
160	26095
160	27437
160	28305
160	28646
160	28647
160	30722
160	30947
160	31229
160	33922
160	34952
160	34953
160	37653
160	37893
160	39841
160	40354
160	42017
160	42548
160	42549
160	42810
160	44023
160	47990
160	50405
160	51586
160	52837
160	58690
160	66153
160	70681
160	72173
160	76908
160	76909
160	82330
160	82631
160	83750
160	87432
160	87792
160	93259
160	96905
160	97339
160	105409
160	105410
160	107009
160	107298
160	116125
160	118352
160	118353
160	121960
160	123394
160	126311
160	131788
160	136469
160	146824
160	155005
160	161694
160	163227
160	168740
160	185894
160	187155
160	189654
160	233069
160	253438
160	290657
160	300073
160	359989
160	411536
160	412601
160	420663
160	459439
160	533192
169	170
169	465091
170	465091
171	172
171	1772
171	3506
171	3507
171	5272
171	5313
171	5314
171	5876
171	5877
171	5908
171	5909
171	6069
171	6070
171	6542
171	6613
171	6614
171	7087
171	7088
171	8040
171	8041
171	8115
171	10011
171	10012
171	10495
171	11521
171	16089
171	16782
171	16783
171	17159
171	17160
171	17595
171	24989
171	25407
171	28603
171	29993
171	29994
171	33430
171	34348
171	35032
171	35033
171	41597
171	42034
171	43700
171	46731
171	49732
171	50258
171	50259
171	51057
171	53296
171	57405
171	57489
171	66465
171	67318
171	67767
171	67768
171	84705
171	88971
171	93397
171	100703
171	102496
171	102497
171	109791
171	112586
171	119394
171	120209
171	126397
171	129216
171	133519
171	140233
171	318621
171	408547
171	421073
171	444657
172	1772
172	3506
172	3507
172	5272
172	5313
172	5314
172	5876
172	5877
172	5908
172	5909
172	6069
172	6070
172	6542
172	6613
172	6614
172	7087
172	7088
172	8040
172	8041
172	8115
172	10011
172	10012
172	10495
172	11521
172	16089
172	16782
172	16783
172	17159
172	17160
172	17595
172	24989
172	25407
172	28603
172	29993
172	29994
172	33430
172	34348
172	35032
172	35033
172	41597
172	42034
172	43700
172	46731
172	49732
172	50258
172	50259
172	51057
172	53296
172	57405
172	57489
172	66465
172	67318
172	67767
172	67768
172	84705
172	88971
172	93397
172	100703
172	102496
172	102497
172	109791
172	112586
172	119394
172	120209
172	126397
172	129216
172	133519
172	140233
172	318621
172	408547
172	421073
172	444657
173	174
173	8023
173	8024
173	9917
173	10566
173	10567
173	16016
173	16017
173	25708
173	27500
173	33271
173	33272
173	35075
173	35076
173	35900
173	39386
173	46832
173	56258
173	64891
173	67593
173	67712
173	86296
173	94552
174	8023
174	8024
174	9917
174	10566
174	10567
174	16016
174	16017
174	25708
174	27500
174	33271
174	33272
174	35075
174	35076
174	35900
174	39386
174	46832
174	56258
174	64891
174	67593
174	67712
174	86296
174	94552
177	178
177	22197
177	22198
177	23852
177	45489
177	45490
177	49432
177	58035
177	64382
177	85011
177	125317
177	125363
177	182677
177	205251
177	234962
177	269914
177	390740
178	22197
178	22198
178	23852
178	45489
178	45490
178	49432
178	58035
178	64382
178	85011
178	125317
178	125363
178	182677
178	205251
178	234962
178	269914
178	390740
185	186
185	7495
185	7496
185	28298
185	29977
185	29978
185	43408
185	49515
185	51517
185	63720
185	84312
185	106791
185	128155
185	155654
185	168199
185	197743
186	7495
186	7496
186	28298
186	29977
186	29978
186	43408
186	49515
186	51517
186	63720
186	84312
186	106791
186	128155
186	155654
186	168199
186	197743
187	188
187	4788
187	4789
187	68732
187	68733
187	144864
187	202157
187	394711
187	394712
188	4788
188	4789
188	68732
188	68733
188	144864
188	202157
188	394711
188	394712
191	192
201	202
201	3152
201	3153
201	21446
201	23013
201	23014
201	24717
201	29354
201	29608
201	35448
201	43372
201	55598
201	56613
201	56614
201	94881
201	111430
201	111431
201	152202
201	247322
201	260780
201	356383
202	3152
202	3153
202	21446
202	23013
202	23014
202	24717
202	29354
202	29608
202	35448
202	43372
202	55598
202	56613
202	56614
202	94881
202	111430
202	111431
202	152202
202	247322
202	260780
202	356383
208	87635
208	87636
209	210
214	4548
214	4549
214	4781
214	18157
214	18158
214	27759
214	36518
214	36519
214	38573
214	43315
214	46056
214	46057
214	54608
214	65205
214	72102
214	88908
214	88909
214	91511
214	103622
214	113321
214	113322
214	124646
214	146988
214	155286
214	155287
214	157941
214	188954
214	226715
214	290839
215	216
227	228
227	46820
227	46821
227	112374
227	200174
227	232768
228	46820
228	46821
228	112374
228	200174
228	232768
232	14479
232	26077
232	26078
232	52634
232	354800
237	48489
237	164781
238	6109
238	6110
238	22170
238	22171
238	45322
238	51352
238	66562
238	88499
238	107191
238	113567
238	136876
241	242
241	3784
241	3785
241	10720
241	10721
241	21367
241	22110
241	22111
241	26256
241	35398
241	51796
241	55075
241	59796
241	63061
241	74200
241	121062
241	122477
241	208854
241	284132
241	287593
241	414061
241	458288
241	483011
242	3784
242	3785
242	10720
242	10721
242	21367
242	22110
242	22111
242	26256
242	35398
242	51796
242	55075
242	59796
242	63061
242	74200
242	121062
242	122477
242	208854
242	284132
242	287593
242	414061
242	458288
242	483011
244	314752
245	246
248	12584
251	252
251	33925
251	37817
251	37818
251	82212
251	114241
251	114242
251	145833
251	272834
252	33925
252	37817
252	37818
252	82212
252	114241
252	114242
252	145833
252	272834
255	256
255	8031
255	8032
256	8031
256	8032
268	274051
268	274052
271	272
273	274
284	59067
287	288
287	177500
288	177500
289	290
289	86392
290	86392
305	306
313	314
313	71619
313	71620
313	355262
314	71619
314	71620
314	355262
317	318
319	320
319	7342
319	7343
319	7861
319	8239
319	11506
319	11507
319	13322
319	13323
319	22538
319	28443
319	34022
319	36480
319	36481
319	42597
319	42598
319	42640
319	44984
319	46473
319	48098
319	48099
319	53802
319	53803
319	54020
319	55345
319	55346
319	58615
319	60296
319	63753
319	74224
319	74547
319	83584
319	89486
319	89487
319	91499
319	91500
319	92033
319	92857
319	105712
319	109828
319	114426
319	120403
319	133194
319	136017
319	139296
319	141128
319	141129
319	152387
319	164573
319	167040
319	198566
319	211668
319	235390
319	252721
320	7342
320	7343
320	7861
320	8239
320	11506
320	11507
320	13322
320	13323
320	22538
320	28443
320	34022
320	36480
320	36481
320	42597
320	42598
320	42640
320	44984
320	46473
320	48098
320	48099
320	53802
320	53803
320	54020
320	55345
320	55346
320	58615
320	60296
320	63753
320	74224
320	74547
320	83584
320	89486
320	89487
320	91499
320	91500
320	92033
320	92857
320	105712
320	109828
320	114426
320	120403
320	133194
320	136017
320	139296
320	141128
320	141129
320	152387
320	164573
320	167040
320	198566
320	211668
320	235390
320	252721
321	322
321	164574
322	164574
327	328
329	373778
331	332
331	8505
331	8506
331	47703
331	51787
331	56865
331	59222
331	59223
331	59586
331	101721
331	130481
331	147842
331	149869
331	168819
331	175364
331	175365
331	188755
331	235470
331	235686
331	269767
332	8505
332	8506
332	47703
332	51787
332	56865
332	59222
332	59223
332	59586
332	101721
332	130481
332	147842
332	149869
332	168819
332	175364
332	175365
332	188755
332	235470
332	235686
332	269767
337	338
337	133940
337	133941
337	171304
337	320961
338	133940
338	133941
338	171304
338	320961
345	28185
345	28767
345	28768
345	39691
345	184804
345	208533
345	208534
345	210799
345	400706
346	51425
346	51426
346	77668
346	77669
346	122933
346	122934
346	145368
346	147352
346	184944
346	235634
346	295750
346	295751
346	305896
346	507589
347	348
351	352
353	354
357	358
359	360
361	362
361	12735
361	94368
361	179957
361	221083
362	12735
362	94368
362	179957
362	221083
365	366
365	51686
365	54934
365	72718
365	84985
366	51686
366	54934
366	72718
366	84985
371	372
371	8367
371	10216
371	10217
371	13999
371	27778
371	27890
371	28276
371	28277
371	36356
371	36447
371	42298
371	42299
371	48722
371	53499
371	59575
371	64069
371	73570
371	82169
371	149220
371	244750
371	244751
371	307149
371	307150
372	8367
372	10216
372	10217
372	13999
372	27778
372	27890
372	28276
372	28277
372	36356
372	36447
372	42298
372	42299
372	48722
372	53499
372	59575
372	64069
372	73570
372	82169
372	149220
372	244750
372	244751
372	307149
372	307150
377	378
379	380
379	29976
379	45646
379	45647
379	261886
380	29976
380	45646
380	45647
380	261886
381	382
383	384
387	388
387	77095
387	110985
388	77095
388	110985
389	390
389	190143
389	424501
390	190143
390	424501
395	396
395	9487
395	9488
395	72431
395	169913
395	191240
395	212915
395	263148
395	281826
396	9487
396	9488
396	72431
396	169913
396	191240
396	212915
396	263148
396	281826
397	398
399	400
399	1779
399	1780
399	2606
399	2607
399	3955
399	3956
399	9754
399	15261
399	18738
399	21662
399	21663
399	22099
399	44346
399	50270
399	53404
399	55149
399	55150
399	58672
399	75211
399	78756
399	95146
399	100513
399	102345
399	102346
399	172795
399	276497
399	364917
400	1779
400	1780
400	2606
400	2607
400	3955
400	3956
400	9754
400	15261
400	18738
400	21662
400	21663
400	22099
400	44346
400	50270
400	53404
400	55149
400	55150
400	58672
400	75211
400	78756
400	95146
400	100513
400	102345
400	102346
400	172795
400	276497
400	364917
401	402
401	636
401	637
401	7319
401	128644
401	147732
401	194717
402	636
402	637
402	7319
402	128644
402	147732
402	194717
405	17146
405	104826
405	104827
407	408
407	21324
407	45068
407	46039
407	46040
407	72976
407	78471
407	84881
407	89058
407	89059
407	102609
407	126186
407	180256
407	189696
407	533489
408	21324
408	45068
408	46039
408	46040
408	72976
408	78471
408	84881
408	89058
408	89059
408	102609
408	126186
408	180256
408	189696
408	533489
419	420
421	422
421	252785
422	252785
431	432
431	396618
432	396618
433	434
436	403546
439	440
439	48344
439	48345
439	51471
439	51472
439	92337
439	92338
439	98912
439	201933
439	370627
439	457507
439	457508
439	473846
439	489195
440	48344
440	48345
440	51471
440	51472
440	92337
440	92338
440	98912
440	201933
440	370627
440	457507
440	457508
440	473846
440	489195
441	442
441	4862
441	12426
441	13354
441	16253
441	16254
441	17531
441	17532
441	24009
441	24597
441	35062
441	36677
441	49494
441	53618
441	56578
441	101994
441	102110
441	104630
441	105419
441	133193
441	311612
441	327058
441	522973
442	4862
442	12426
442	13354
442	16253
442	16254
442	17531
442	17532
442	24009
442	24597
442	35062
442	36677
442	49494
442	53618
442	56578
442	101994
442	102110
442	104630
442	105419
442	133193
442	311612
442	327058
442	522973
443	444
443	194728
443	194729
443	212932
443	275842
444	194728
444	194729
444	212932
444	275842
445	28988
449	450
449	195923
450	195923
453	454
459	460
459	15150
459	93291
459	93292
459	98060
459	98061
459	109081
459	264790
460	15150
460	93291
460	93292
460	98060
460	98061
460	109081
460	264790
471	472
471	4099
471	82571
471	82572
471	160959
471	160960
471	209981
471	245163
471	311624
472	4099
472	82571
472	82572
472	160959
472	160960
472	209981
472	245163
472	311624
473	474
473	21274
473	60813
473	60814
473	65234
473	65235
473	77174
473	77175
473	86476
473	162318
473	329924
474	21274
474	60813
474	60814
474	65234
474	65235
474	77174
474	77175
474	86476
474	162318
474	329924
477	478
485	486
487	488
489	490
489	1841
489	1842
489	5214
489	5215
489	9519
489	9520
489	9703
489	9704
489	10364
489	10365
489	11233
489	12602
489	18366
489	33251
489	34523
489	34524
489	35652
489	39242
489	39243
489	43595
489	45282
489	46198
489	46199
489	51266
489	54575
489	54576
489	56778
489	56779
489	57751
489	63215
489	71528
489	71529
489	118673
490	1841
490	1842
490	5214
490	5215
490	9519
490	9520
490	9703
490	9704
490	10364
490	10365
490	11233
490	12602
490	18366
490	33251
490	34523
490	34524
490	35652
490	39242
490	39243
490	43595
490	45282
490	46198
490	46199
490	51266
490	54575
490	54576
490	56778
490	56779
490	57751
490	63215
490	71528
490	71529
490	118673
491	25923
491	49318
491	49319
491	109389
491	126003
491	126004
491	128963
491	131589
491	162037
491	168860
491	223671
491	246718
491	264858
491	274684
493	494
499	500
499	6579
499	6580
499	14778
499	14936
499	14937
499	20584
499	20701
499	23595
499	23596
499	24796
499	24797
499	75147
499	75768
499	91313
499	237964
500	6579
500	6580
500	14778
500	14936
500	14937
500	20584
500	20701
500	23595
500	23596
500	24796
500	24797
500	75147
500	75768
500	91313
500	237964
501	502
501	9443
501	10615
501	12348
501	13723
501	19144
501	19145
501	24067
501	24068
501	26703
501	26704
501	33899
501	33900
501	39867
501	53557
501	60398
501	60896
501	82827
501	94014
501	95355
501	97156
501	100104
501	109999
501	110574
501	138441
501	141292
501	145334
501	154173
501	158117
501	158118
501	169984
501	169985
501	188206
501	242206
501	285963
501	300562
502	9443
502	10615
502	12348
502	13723
502	19144
502	19145
502	24067
502	24068
502	26703
502	26704
502	33899
502	33900
502	39867
502	53557
502	60398
502	60896
502	82827
502	94014
502	95355
502	97156
502	100104
502	109999
502	110574
502	138441
502	141292
502	145334
502	154173
502	158117
502	158118
502	169984
502	169985
502	188206
502	242206
502	285963
502	300562
503	504
507	508
511	512
511	43199
511	43200
511	59488
511	121335
511	415501
512	43199
512	43200
512	59488
512	121335
512	415501
521	522
523	524
523	248328
524	248328
525	526
525	4550
525	5122
525	5123
525	6480
525	6481
525	8353
525	9661
525	9662
525	10249
525	12241
525	12303
525	12304
525	12525
525	14071
525	14767
525	15766
525	15767
525	20342
525	23639
525	23640
525	24792
525	24793
525	25987
525	30048
525	32233
525	33093
525	33176
525	33339
525	35930
525	43097
525	50006
525	50805
525	50806
525	52522
525	53415
525	54894
525	55922
525	55923
525	60956
525	65980
525	71824
525	71825
525	78084
525	81520
525	104629
525	109071
525	130137
525	135463
525	135464
525	408110
526	4550
526	5122
526	5123
526	6480
526	6481
526	8353
526	9661
526	9662
526	10249
526	12241
526	12303
526	12304
526	12525
526	14071
526	14767
526	15766
526	15767
526	20342
526	23639
526	23640
526	24792
526	24793
526	25987
526	30048
526	32233
526	33093
526	33176
526	33339
526	35930
526	43097
526	50006
526	50805
526	50806
526	52522
526	53415
526	54894
526	55922
526	55923
526	60956
526	65980
526	71824
526	71825
526	78084
526	81520
526	104629
526	109071
526	130137
526	135463
526	135464
526	408110
534	535
534	34894
534	62546
535	34894
535	62546
538	539
538	430127
539	430127
540	541
540	93765
541	93765
546	547
546	3260
546	3261
546	5723
546	5724
546	7167
546	7168
546	8066
546	8067
546	10311
546	10312
546	11708
546	11709
546	11804
546	15745
546	16519
546	16520
546	19487
546	24054
546	24579
546	24580
546	24723
546	25023
546	26613
546	26614
546	31224
546	35123
546	39697
546	39850
546	40091
546	40092
546	48541
546	57933
546	66484
546	66929
546	66930
546	79873
546	80913
546	80914
546	93475
546	102127
546	102128
